TIPO_INSTRUMENTO;ESFERA;IBGE;UF;REGIAO;MACRORREGIAO;MUNICIPIO;EXERCICIO;FASE;SITUACAO;DATA
"1º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2019";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2020";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2021";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2022";"2022-2025";"Aprovado com Ressalvas";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2025";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210100";"MA";"Itapecuru Mirim";"MACRORREGIAO NORTE";"ARARI";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2018";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2019";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2020";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2021";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2024";"2022-2025";"Em Elaboração";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2024";"2022-2025";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2025";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210110";"MA";"Rosário";"MACRORREGIAO NORTE";"AXIXA";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2018";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2018";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2018";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2019";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2019";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2020";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2020";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2021";"2018-2021";"Homologado pelo Gestor Estadual";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2021";"2018-2021";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2021";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2022";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2022";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2023";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2023";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2024";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2024";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2025";"2022-2025";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2025";"2022-2025";"Avaliado";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210120";"MA";"Bacabal";"MACRORREGIAO NORTE";"BACABAL";"2025";"2022-2025";"Não Iniciado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2018";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2018";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2018";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2018";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2018";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2018";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"Plano de Saúde";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2019";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2019";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2019";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2019";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"3º RDQA";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2019";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"RAG";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2019";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"Pactuação";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2020";"2018-2021";"Não Iniciado";"2025-10-31 00:00:00"
"Programação Anual de Saúde";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2020";"2018-2021";"Aprovado";"2025-10-31 00:00:00"
"1º RDQA";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2020";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
"2º RDQA";"MUNICIPAL";"210125";"MA";"Rosário";"MACRORREGIAO NORTE";"BACABEIRA";"2020";"2018-2021";"Em Análise no Conselho de Saúde";"2025-10-31 00:00:00"
